data, categoria, descricao, valor
2026-04-01,Alimentacao,Universidade,13.56
2026-04-02,Transporte,Uber,13.30
2026-04-03,Transporte,Trem,5.40
2026-04-04,Alimentacao,FastFood,21.70
2026-04-04,Transporte,Trem,10.80
2026-04-06,Transporte,Trem,5.40
2026-04-07,Alimentacao,Doce,12.00
2026-04-07,Lazer,Bar,21.00
2026-04-08,Contas,Internet,17.80
2026-04-08,Transporte,Trem,10.80
2026-04-10,Alimentacao,Carrefour,16.47
2026-04-10,Transporte,Uber,15.00
2026-04-11,Transporte,Trem,5.40
2026-04-12,Lazer,Festa,55.00
2026-04-12,Transporte,Uber,21.99
2026-04-14,Alimentacao,Doce,3.00
2026-04-15,Contas,DNE,37.10
2026-04-15,Transporte,Uber,7.90
2026-04-16,Alimentacao,Restaurante,12.00
2026-04-16,Lazer,Bar,21.00
2026-04-16,Transporte,Trem,2.80
2026-04-19,Lazer,Festa,25.00
2026-04-22,Alimentacao,Restaurante,22.56
2026-04-22,Transporte,Uber,19.00
2026-04-23,Alimentacao,Doce,14.70
2026-04-23,Lazer,Compras,38.20
2026-04-24,Contas,Celular,100.00
2026-04-25,Transporte,Trem,5.50
2026-04-27,Alimentacao,Mercado,157.44
2026-04-27,Alimentacao,Doce,6.00
2026-04-28,Alimentacao,Restaurante,23.00
2026-04-29,Transporte,Uber,8.00
